,continent
1533,Oceania
1534,Oceania
1535,Oceania
1536,Oceania
1537,Oceania
1538,Oceania
1539,Oceania
1540,Oceania
1541,Oceania
1542,Oceania
1543,Oceania
1544,Oceania
1545,Oceania
1546,Oceania
1547,Oceania
1548,Oceania
1549,Oceania
1550,Oceania
1551,Oceania
1552,Oceania
1553,Oceania
1554,Oceania
1555,Oceania
1556,Oceania
1557,Oceania
1558,Oceania
1559,Oceania
1560,Oceania
1561,Oceania
1562,Oceania
1563,Oceania
1564,Oceania
1565,Oceania
1566,Oceania
1567,Oceania
1568,Oceania
1569,Oceania
1570,Oceania
1571,Oceania
1572,Oceania
1573,Oceania
1574,Oceania
1575,Oceania
1576,Oceania
1577,Oceania
1578,Oceania
1579,Oceania
1580,Oceania
1581,Oceania
1582,Oceania
1583,Oceania
1584,Oceania
1585,Oceania
1586,Oceania
1587,Oceania
1588,Oceania
1589,Oceania
1590,Oceania
1591,Oceania
1592,Oceania
1593,Oceania
1594,Oceania
1595,Oceania
1596,Oceania
1597,Oceania
1598,Oceania
1599,Oceania
1600,Oceania
1601,Oceania
1602,Oceania
1603,Oceania
1604,Oceania
1605,Oceania
1606,Oceania
1607,Oceania
1608,Oceania
1609,Oceania
1610,Oceania
1611,Oceania
1612,Oceania
1613,Oceania
1614,Oceania
1615,Oceania
1616,Oceania
1617,Oceania
1618,Oceania
1619,Oceania
1620,Oceania
1621,Oceania
1622,Oceania
1623,Oceania
1624,Oceania
1625,Oceania
1626,Oceania
1627,Oceania
1628,Oceania
1629,Oceania
1630,Oceania
1631,Oceania
1632,Oceania
1633,Oceania
1634,Oceania
1635,Oceania
1636,Oceania
1637,Oceania
1638,Oceania
1639,Oceania
1640,Oceania
1641,Oceania
1642,Oceania
1643,Oceania
1644,Oceania
1645,Oceania
1646,Oceania
1647,Oceania
1648,Oceania
1649,Oceania
1650,Oceania
1651,Oceania
1652,Oceania
1653,Oceania
1654,Oceania
1655,Oceania
1656,Oceania
1657,Oceania
1658,Oceania
1659,Oceania
1660,Oceania
1661,Oceania
1662,Oceania
1663,Oceania
1664,Oceania
1665,Oceania
1666,Oceania
1667,Oceania
1668,Oceania
1669,Oceania
1670,Oceania
1671,Oceania
1672,Oceania
1673,Oceania
1674,Oceania
1675,Oceania
1676,Oceania
1677,Oceania
1678,Oceania
1679,Oceania
1680,Oceania
1681,Oceania
1682,Oceania
1683,Oceania
1684,Oceania
1685,Oceania
1686,Oceania
1687,Oceania
1688,Oceania
1689,Oceania
1690,Oceania
1691,Oceania
1692,Oceania
1693,Oceania
1694,Oceania
1695,Oceania
1696,Oceania
1697,Oceania
1698,Oceania
1699,Oceania
1700,Oceania
1701,Oceania
1702,Oceania
1703,Oceania
1704,Oceania
1705,Oceania
1706,Oceania
1707,Oceania
1708,Oceania
1709,Oceania
1710,Oceania
1711,Oceania
1712,Oceania
1713,Oceania
1714,Oceania
1715,Oceania
1716,Oceania
1717,Oceania
1718,Oceania
1719,Oceania
1720,Oceania
1721,Oceania
1722,Oceania
1723,Oceania
1724,Oceania
1725,Oceania
1726,Oceania
1727,Oceania
1728,Oceania
1729,Oceania
1730,Oceania
1731,Oceania
1732,Oceania
1733,Oceania
1734,Oceania
1735,Oceania
1736,Oceania
1737,Oceania
1738,Oceania
1739,Oceania
1740,Oceania
1741,Oceania
1742,Oceania
1743,Oceania
1744,Oceania
1745,Oceania
1746,Oceania
1747,Oceania
1748,Oceania
